제목,저자,역자,출간일,페이지,정가,할인가격,마일리지
우리가 시를 처음 쓴다면 그건 분명 윤동주일 거야: 『하늘과 바람과 별과 시』 필사,"윤동주 , 유한빈(펜크래프트) , 콰야 ",역자 없음, 2021-04-05, 196 쪽," 13,800원"," 12,420원", 690점 
젠더 모자이크,"다프나 조엘 , 루바 비칸스키 ", 김혜림 , 2021-04-05, 264 쪽," 16,500원"," 14,850원", 825점 
나 아직 안 죽었다,김재완 ,역자 없음, 2021-04-02, 232 쪽," 14,500원"," 13,050원", 725점 
스파크를 활용한 실시간 처리,"제러드 마스 , 프랑수아 가릴로 ", 김인범 , 2021-04-02, 472 쪽," 38,000원"," 34,200원"," 1,900점 "
게임 엔진 블랙 북 : 둠,파비앙 상글라르 , 박재호 , 2021-04-01, 472 쪽," 42,000원"," 37,800원"," 2,100점 "
만만한 통계 : R 활용,"닐 J. 샐카인드 , 레슬리 A. 쇼 ", 김재경 , 2021-04-01, 500 쪽," 28,000원"," 28,000원", 840점 
러닝 SQL,앨런 볼리외 ," 류수미 , 송희정 ", 2021-03-30, 456 쪽," 30,000원"," 27,000원"," 1,500점 "
이야기로 배우는 구글 빅쿼리,"구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ", 정인식 , 2021-03-30, 256 쪽," 20,000원"," 18,000원"," 1,000점 "
저는 심리학이 처음인데요(개정판),강현식 ,역자 없음, 2021-03-30, 454 쪽," 18,000원"," 16,200원", 900점 
저는 인문학이 처음인데요(개정판),박홍순 ,역자 없음, 2021-03-30, 478 쪽," 18,000원"," 16,200원", 900점 
쓰면서 익히는 알고리즘과 자료구조,윤대석 ,역자 없음, 2021-03-29, 388 쪽," 26,000원"," 23,400원"," 1,300점 "
오늘부터 달리기를 합니다,이진이(지니코치) ,역자 없음, 2021-03-25, 152 쪽," 14,800원"," 13,320원", 740점 
찾아도 찾아도 끝판왕 집중력 미로찾기 101,매튜 스캇 ,역자 없음, 2021-03-25, 104 쪽," 8,000원"," 7,200원", 400점 
찾아도 찾아도 끝판왕 창의력 미로찾기 101,록리지 프레스 ,역자 없음, 2021-03-25, 104 쪽," 8,000원"," 7,200원", 400점 
몽고DB 완벽 가이드(3판),"크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ", 김인범 , 2021-03-22, 600 쪽," 36,000원"," 32,400원"," 1,800점 "
